,pheno1
72,6.2334482148671295
182,5.082853974565223
131,9.07682926854778
410,7.956810499023264
193,6.439030593567836
55,14.504682240330812
148,10.10555917859368
18,12.863490387274066
204,8.795962109629723
78,6.371357433647574
494,7.4317637930956275
262,10.889829774874432
323,8.063136338473463
483,9.02706975359382
79,10.824811949600182
39,15.055205081098151
451,8.495858224856914
46,8.848368643126086
238,6.51010023061565
391,9.767889435231051
352,5.982686471618069
341,13.079709373820728
277,6.543438284542413
290,11.807676384293108
317,6.410061633424604
304,9.404888284765423
268,8.485867492085745
69,10.006103716986347
455,9.164383810634147
465,7.341920666637337
154,12.259339278085225
82,15.7448270527097
477,10.339339796054697
172,14.2553059994124
321,9.379783951472168
90,11.167926644006068
180,9.773014697693505
414,11.80221376891004
312,12.234528605473468
278,7.837361011965129
381,6.254968368346039
472,5.558471748531475
362,9.742973807051774
324,8.291315487369424
431,9.759608830960891
347,7.351978024455279
86,13.659462021624986
75,8.014484871520693
438,9.592505115437902
15,10.2611606629339
249,7.680840880022567
433,10.812425451283996
19,8.758041345416064
322,15.620263539587754
332,15.622814078688858
56,14.537474372837377
301,4.213264198541509
229,10.6545131966813
331,5.457795166666838
132,11.396107116914129
137,8.55289408563377
423,8.305598145145005
335,12.38505017752317
25,16.36431787557714
464,3.0317787253812183
281,11.968270857179434
247,4.9549696317555245
237,5.038278460536512
117,8.074054266875912
42,14.508600690386787
220,9.479563879084452
176,13.070993059658194
320,8.757061335247874
153,8.057037180968539
231,7.421354137434357
227,13.376074206088411
417,9.318428458727258
203,7.116873968826058
126,7.856001749280452
329,8.310972023568022
31,9.314924363240838
113,10.817849259202562
470,13.321511258004117
271,7.491281828319099
140,8.944147968512725
57,5.340804837108001
192,9.363702382746704
24,9.918518827511802
17,10.453150699631408
265,5.55459326100281
66,6.683600901707751
208,8.818361633588921
479,8.737320130938961
94,8.008089490567516
253,8.274993152470287
266,9.124337547329288
23,13.495883460379932
222,6.33260446511757
261,7.928311004882769
426,8.129657144075313
5,10.039116899818076
116,6.704276371293119
45,18.140597200356964
16,8.902752209167526
462,16.88088251161164
357,3.244741369824954
3,5.192366453676575
218,10.36961166370372
405,9.955894022074355
60,13.756906904335208
110,9.206758519036162
318,5.816932178613928
428,8.950516185253218
29,9.40637958114448
437,10.831255283625284
471,9.866074189779994
26,11.496943629356926
7,6.303102361766825
453,9.06465907901343
108,11.584086118822068
37,3.951113771068628
157,6.266914770615643
489,11.556985826897447
118,8.82332726162004
114,8.086478324248016
175,12.734298322054688
